Company Name,Tweet ID,Comment,Liked By
@ManUtd,943045580632227840,@ManUtd Follow all true Manchester United fans. Connect to Africa,1
@ManUtd,942733446786449408,@ManUtd @juanmata8 nice, u stay in ur quality,0
@ManUtd,942733446786449408,@ManUtd @juanmata8 ☺️☺️☺️fantastic footballer.......juan mata,0
@ManUtd,942790366016700416,@ManUtd I love united for his humanity well done guys,0
@ManUtd,942790366016700416,@ManUtd this is what i like most about manUtd putting smiles on this beautiful angels,0
@ManUtd,942790366016700416,@ManUtd @ctid1977,0
@ManUtd,942790366016700416,@ManUtd Best Christmas Present,0
@ManUtd,942790366016700416,@ManUtd That's was very nice,0
@ManUtd,942790366016700416,@ManUtd 🙄 nice you never see many great team support other it's a really nice thing that man united this...😘😘😉that'… https://t.co/AVMo3tBxN5,0
@ManUtd,942790366016700416,@ManUtd Nice,0
@ManUtd,942790366016700416,@ManUtd I like Mun U https://t.co/00sncGBIim,0
@ManUtd,940178682806722561,@ManUtd @ChampionsLeague This Spanish side is dead trust me,0
@ManUtd,940178682806722561,@ManUtd @ChampionsLeague I know my guys will do it,0
@ManUtd,941669774337171457,@ManUtd In the 1995/96 season, Newcastle led the league virtually all season from August until mid-March, and by Ch… https://t.co/Vmgg7Zggy0,0
@ManUtd,925358271019458560,@ManUtd @MarcusRashford Happy birthday,0
